"","Case","Scen_8_1_a","Scen_15_1_a","Scen_38_1_a","Scen_56_1_a","Scen_79_1_a","Scen_8_3_a","Scen_15_3_a","Scen_38_3_a","Scen_56_3_a","Scen_79_3_a","Scen_8_5_a","Scen_15_5_a","Scen_38_5_a","Scen_56_5_a","Scen_79_5_a","Cases_continuous"
"199","19",0.175,0.319,0.604,0.752,0.863,0.001,0.002,0.059,0.134,0.277,0,0,0.003,0.008,0.039,19
"200","19",0.171,0.304,0.602,0.75,0.86,0.001,0.002,0.056,0.137,0.269,0,0,0.004,0.011,0.033,19
"201","20",0.167,0.322,0.634,0.747,0.873,0.001,0.005,0.075,0.145,0.338,0,0,0.001,0.011,0.033,20
"202","20",0.192,0.324,0.622,0.78,0.881,0.003,0.005,0.065,0.16,0.289,0,0,0.002,0.011,0.041,20
"203","20",0.185,0.329,0.619,0.759,0.875,0.001,0.007,0.069,0.19,0.325,0,0,0.002,0.012,0.046,20
"204","20",0.177,0.298,0.612,0.775,0.869,0.001,0.008,0.044,0.165,0.326,0,0,0.002,0.011,0.044,20
"205","20",0.201,0.345,0.613,0.77,0.873,0,0.004,0.068,0.154,0.324,0,0,0,0.011,0.042,20
"206","20",0.17,0.316,0.606,0.761,0.876,0.001,0.006,0.059,0.167,0.287,0,0,0.004,0.01,0.038,20
"207","20",0.19,0.312,0.641,0.755,0.88,0.001,0.004,0.074,0.177,0.317,0,0,0.002,0.015,0.039,20
"208","20",0.186,0.324,0.597,0.772,0.872,0.001,0.011,0.063,0.179,0.333,0,0,0.002,0.01,0.044,20
"209","20",0.158,0.319,0.599,0.758,0.867,0,0.006,0.068,0.17,0.337,0,0,0.002,0.01,0.036,20
"210","20",0.172,0.316,0.624,0.761,0.867,0.001,0.005,0.064,0.159,0.312,0,0,0.004,0.008,0.041,20
"211","21",0.179,0.326,0.634,0.796,0.872,0,0.002,0.052,0.184,0.338,0,0,0.005,0.011,0.045,21
"212","21",0.185,0.323,0.612,0.771,0.893,0.001,0.005,0.077,0.17,0.34,0,0,0,0.006,0.038,21
"213","21",0.202,0.34,0.64,0.778,0.874,0.003,0.011,0.06,0.172,0.346,0,0,0.003,0.013,0.038,21
"214","21",0.21,0.322,0.668,0.761,0.893,0.001,0.007,0.066,0.172,0.339,0,0,0.005,0.017,0.046,21
"215","21",0.179,0.342,0.659,0.809,0.893,0.003,0.011,0.094,0.149,0.343,0,0,0.003,0.012,0.058,21
"216","21",0.172,0.33,0.67,0.765,0.875,0.001,0.002,0.079,0.185,0.336,0,0,0.003,0.012,0.051,21
"217","21",0.192,0.335,0.623,0.811,0.913,0,0.01,0.089,0.186,0.323,0,0,0,0.011,0.042,21
"218","21",0.179,0.346,0.661,0.778,0.906,0.002,0.005,0.065,0.178,0.391,0,0,0,0.017,0.036,21
"219","21",0.194,0.351,0.632,0.78,0.889,0.001,0.003,0.094,0.177,0.351,0,0,0.002,0.012,0.046,21
"220","21",0.198,0.305,0.626,0.765,0.909,0,0.01,0.081,0.17,0.349,0,0,0.004,0.012,0.053,21
"221","22",0.208,0.322,0.642,0.815,0.886,0.002,0.005,0.078,0.189,0.37,0,0,0.002,0.015,0.063,22
"222","22",0.212,0.359,0.674,0.782,0.911,0,0.001,0.088,0.211,0.37,0,0,0.005,0.016,0.06,22
"223","22",0.187,0.321,0.642,0.8,0.892,0.002,0.003,0.078,0.196,0.355,0,0,0.002,0.018,0.071,22
"224","22",0.189,0.334,0.677,0.786,0.903,0,0.008,0.078,0.223,0.406,0,0,0.004,0.014,0.062,22
"225","22",0.201,0.328,0.673,0.778,0.911,0.001,0.005,0.073,0.197,0.384,0,0,0.003,0.026,0.07,22
"226","22",0.189,0.328,0.641,0.794,0.901,0,0.006,0.076,0.208,0.4,0,0,0.006,0.009,0.05,22
"227","22",0.197,0.338,0.681,0.825,0.905,0.002,0.01,0.077,0.199,0.353,0,0,0.003,0.018,0.063,22
"228","22",0.185,0.322,0.658,0.823,0.897,0.003,0.012,0.081,0.198,0.381,0,0,0.004,0.015,0.059,22
"229","22",0.204,0.377,0.667,0.803,0.896,0.001,0.005,0.078,0.187,0.357,0,0,0.003,0.015,0.066,22
"230","22",0.188,0.346,0.672,0.79,0.909,0.001,0.006,0.069,0.201,0.357,0,0,0.001,0.02,0.059,22
"231","23",0.192,0.357,0.678,0.785,0.903,0,0.004,0.084,0.221,0.439,0,0,0.002,0.02,0.058,23
"232","23",0.215,0.344,0.675,0.823,0.926,0.002,0.007,0.094,0.207,0.392,0,0,0.004,0.02,0.068,23
"233","23",0.219,0.365,0.668,0.824,0.91,0.001,0.006,0.102,0.215,0.427,0,0,0.002,0.016,0.08,23
"234","23",0.2,0.349,0.668,0.808,0.916,0.001,0.006,0.085,0.206,0.397,0,0,0.005,0.016,0.056,23
"235","23",0.187,0.329,0.676,0.814,0.905,0.002,0.01,0.098,0.212,0.392,0,0,0.004,0.027,0.072,23
